Date,Location,Weekday,Time of order called,Type of drink,Caffeinated,Party Size ,Linger time ,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:46,Frappuccino Blended Beverage,Yes,1,4,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:46,"Cold Coffee, Refreshers",Yes,2,8,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:47,Cold Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:48,Refreshers,No,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:48,Hot Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:49,Hot Coffee,Yes,1,2,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:50,Refreshers,No,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:52,Refreshers,No,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:52,"Hot Coffee,  Hot Chocolate Lemonade & more",Yes,2,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:53,Cold Tea,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:54,"Cold Tea, Cold Coffee",Yes,1,2,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:54,"Hot Coffee,  Hot Chocolate Lemonade & more",Yes,3,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:55,"Cold Coffee, Frappuccino Blended Beverage",Yes,2,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:55,"Cold Coffee,  Cold Tea",Yes,2,30,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:56,Cold Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:56,"Cold Tea, Refreshers",Yes,2,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:58,Frappuccino Blended Beverage,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:59,"Hot Coffee, Hot Tea",Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:59,"Cold Coffee,  Cold Tea",Yes,2,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
2025/03/10,UCSD PC Starbucks ,Monday,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
